hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,id
Resort Hotel,0,6,2015,October,42,11,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,113.0,0,Transient,82.0,1,1,Check-Out,2015-10-13,2393
Resort Hotel,0,24,2015,October,44,26,7,15,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,G,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,2015-11-17,2698
Resort Hotel,0,24,2015,November,45,3,0,3,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-06,2868
Resort Hotel,0,24,2015,November,45,3,2,10,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,328.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15,2878
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,326.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-16,2879
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,326.0,281.0,0,Transient,48.0,0,0,Check-Out,2015-11-16,2880
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,2015-11-16,2881
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,6,No Deposit,328.0,281.0,0,Transient,40.0,0,0,Check-Out,2015-11-16,2882
Resort Hotel,0,24,2015,November,45,3,3,10,2,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,326.0,281.0,0,Transient,48.0,0,0,Check-Out,2015-11-16,2883
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-16,2884
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,F,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-16,2885
Resort Hotel,0,33,2015,November,45,4,2,9,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,42.55,0,0,Check-Out,2015-11-15,2893
Resort Hotel,0,34,2015,November,45,5,2,8,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15,2899
Resort Hotel,0,34,2015,November,45,5,2,8,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,2015-11-15,2901
Resort Hotel,0,27,2015,November,45,6,2,7,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15,2913
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,2015-11-17,2914
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17,2915
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17,2916
Resort Hotel,0,35,2015,November,45,6,4,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-17,2917
Resort Hotel,0,27,2015,November,45,6,2,7,1,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,2015-11-15,2918
Resort Hotel,0,35,2015,November,45,6,2,7,1,0.0,0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,1,0,Check-Out,2015-11-15,2919
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15,2939
Resort Hotel,1,36,2015,November,45,7,2,6,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Canceled,2015-11-04,2942
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,DEU,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15,2943
Resort Hotel,0,36,2015,November,45,7,2,6,1,0.0,0,BB,BEL,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,2015-11-15,2946
